$id,title,description,price,status,serviceRequest
b3eb7774-b48c-4311-b991-46d3c7900e4c,Urgent Fix leaking sink in the rooftop,"Identify and repair kitchen sink leak. Location: rooftop, Quantity: 3, Type: urgent.",44.78,completed,99c3bf87-fa1b-4be3-8760-4939e78a4da8
ebee4a22-9e67-44f0-849e-4bc95cbc1e59,Scheduled Install shower in the kitchen,"Install and test new shower system. Location: kitchen, Quantity: 3, Type: scheduled.",189.72,completed,99c3bf87-fa1b-4be3-8760-4939e78a4da8
b1ee9360-3546-4fb8-9e3b-26e4938998e4,Full Install shower in the rooftop,"Install and test new shower system. Location: rooftop, Quantity: several, Type: full.",234.43,completed,99c3bf87-fa1b-4be3-8760-4939e78a4da8
3c5ac726-5e57-4b29-83eb-b81ac7c2f78e,Urgent Lawn mowing in the garage,"Mow the entire front and backyard. Location: garage, Quantity: multiple, Type: urgent.",202.58,in progress,60795831-70de-425f-9825-e3fa562d3b8b
0144054e-ba4c-4e6e-a26d-28a2c903be4a,Urgent Trim hedges in the backyard,"Trim and shape all garden hedges. Location: backyard, Quantity: 1, Type: urgent.",67.39,completed,60795831-70de-425f-9825-e3fa562d3b8b
8bacc7c5-a3be-4012-95dc-bd91dae40b70,Deep Weeding in the backyard,"Remove all weeds from flower beds. Location: backyard, Quantity: 1, Type: deep.",242.29,completed,60795831-70de-425f-9825-e3fa562d3b8b
8f6da7ff-41c2-46d0-8cfd-e749c2608b90,Full Lawn mowing in the bedroom,"Mow the entire front and backyard. Location: bedroom, Quantity: 3, Type: full.",106.71,in progress,0e39fbff-fb3f-4108-aef2-5f43ae3e108d
92ff58af-b3e2-4afc-91d0-824d42397789,Emergency Trim hedges in the balcony,"Trim and shape all garden hedges. Location: balcony, Quantity: multiple, Type: emergency.",88.5,completed,0e39fbff-fb3f-4108-aef2-5f43ae3e108d
0f155e93-033d-4ee6-bf3c-eae42ede7099,Basic Lighting setup in the backyard,"Install new ceiling lights. Location: backyard, Quantity: 5, Type: basic.",207.87,in progress,f7db8ea0-1e8c-4bb7-8055-44fa5d56c8ca
49040dee-4f68-46e4-bab1-09a6f274e4f5,Emergency Lighting setup in the kitchen,"Install new ceiling lights. Location: kitchen, Quantity: 4, Type: emergency.",182.14,in progress,f7db8ea0-1e8c-4bb7-8055-44fa5d56c8ca
426deb77-4aa9-4503-84d0-58fce6805588,Standard Fix leaking sink in the backyard,"Identify and repair kitchen sink leak. Location: backyard, Quantity: 5, Type: standard.",133.98,completed,3954681c-cb30-46dc-a32c-039efd44f64e
ff29da75-3a95-4ff0-b866-262d56d7b067,Full Unclog drain in the kitchen,"Unclog blocked bathroom drain. Location: kitchen, Quantity: 2, Type: full.",189.28,in progress,3954681c-cb30-46dc-a32c-039efd44f64e
c3ce2983-0969-476c-ab97-93f7cd660ac6,Basic Fix leaking sink in the bedroom,"Identify and repair kitchen sink leak. Location: bedroom, Quantity: 2, Type: basic.",205.03,in progress,3954681c-cb30-46dc-a32c-039efd44f64e
870e99eb-c090-4e74-9a3b-52a0213b23ea,Advanced Unclog drain in the kitchen,"Unclog blocked bathroom drain. Location: kitchen, Quantity: 4, Type: advanced.",107.17,in progress,a36f22e9-1377-4f52-b1df-13aff10fe3da
b7dfd056-c0dd-40be-b348-4b77aec4e968,Full Fix leaking sink in the rooftop,"Identify and repair kitchen sink leak. Location: rooftop, Quantity: 3, Type: full.",127.52,in progress,a36f22e9-1377-4f52-b1df-13aff10fe3da
6e12834a-9b65-47bf-a369-deb6fce15af8,Urgent Lighting setup in the balcony,"Install new ceiling lights. Location: balcony, Quantity: 4, Type: urgent.",76.14,completed,4076d45f-d460-4378-b525-231780e604c5
0738a229-ce01-4d24-9b7a-9fd321c0609d,Full Install power socket in the garage,"Install and test a new wall socket. Location: garage, Quantity: 5, Type: full.",150.12,completed,4076d45f-d460-4378-b525-231780e604c5
c875e006-c3ca-4f2c-b5af-29b631969871,Standard Trim hedges in the living room,"Trim and shape all garden hedges. Location: living room, Quantity: 2, Type: standard.",236.18,completed,4b122c33-3c26-4d03-986b-d1a2ccaa2258
